,Unnamed: 0,instrument_token_x,exchange_token_x,tradingsymbol_x,name,last_price_x,expiry_x,strike_x,tick_size_x,lot_size_x,instrument_type_x,segment_x,exchange_x,instrument_token_y,exchange_token_y,tradingsymbol_y,last_price_y,expiry_y,strike_y,tick_size_y,lot_size_y,instrument_type_y,segment_y,exchange_y
16853311,16853311,1147137,4481,AARTIDRUGS,AARTI DRUGS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,134233092,524348,AARTIDRUGS,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853313,16853313,3329,13,ABB,ABB INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128000516,500002,ABB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853315,16853315,375553,1467,AKZOINDIA,AKZO NOBEL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128181764,500710,AKZOINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853318,16853318,25601,100,AMARAJABAT,AMARA RAJA BATTERIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128002052,500008,AMARAJABAT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853330,16853330,3691009,14418,ASTRAL,ASTRAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136404484,532830,ASTRAL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853331,16853331,1552897,6066,ATGL,ADANI TOTAL GAS,0.0,,0.0,0.05,1,EQ,NSE,NSE,138768900,542066,ATGL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853333,16853333,4999937,19531,BAJAJCON,BAJAJ CONSUMER CARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,136506628,533229,BAJAJCON,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853334,16853334,4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136442372,532978,BAJAJFINSV,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853335,16853335,81153,317,BAJFINANCE,BAJAJ FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,128008708,500034,BAJFINANCE,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853337,16853337,1195009,4668,BANKBARODA,BANK OF BARODA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136226308,532134,BANKBARODA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853338,16853338,1214721,4745,BANKINDIA,BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136230148,532149,BANKINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853345,16853345,1790465,6994,BSOFT,BIRLASOFT,0.0,,0.0,0.05,1,EQ,NSE,NSE,136294404,532400,BSOFT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853347,16853347,2763265,10794,CANBK,CANARA BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136315652,532483,CANBK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853348,16853348,3812865,14894,CENTRALBK,CENTRAL BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136418564,532885,CENTRALBK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853349,16853349,5204225,20329,CGCL,CAPRI GLOBAL CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136088324,531595,CGCL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853352,16853352,2955009,11543,COFORGE,COFORGE,0.0,,0.0,0.05,1,EQ,NSE,NSE,136330500,532541,COFORGE,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853355,16853355,1471489,5748,CYIENT,CYIENT,0.0,,0.0,0.05,1,EQ,NSE,NSE,136236804,532175,CYIENT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853356,16853356,2067201,8075,DALBHARAT,DALMIA BHARAT,0.0,,0.0,0.05,1,EQ,NSE,NSE,138807300,542216,DALBHARAT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853358,16853358,3513601,13725,DCBBANK,DCB BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136389636,532772,DCBBANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853360,16853360,207617,811,DCMSHRIRAM,DCM SHRIRAM,0.0,,0.0,0.05,1,EQ,NSE,NSE,133981956,523367,DCMSHRIRAM,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853365,16853365,3721473,14537,DISHTV,DISH TV INDIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136406788,532839,DISHTV,0.0,,0.0,0.01,1,EQ,BSE,BSE
16853368,16853368,251137,981,EPL,EPL,0.0,,0.0,0.05,1,EQ,NSE,NSE,128034564,500135,EPL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853373,16853373,2012673,7862,GEPIL,GE POWER INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136271108,532309,GEPIL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853375,16853375,3463169,13528,GMRINFRA,GMR INFRASTRUCTURE.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136385028,532754,GMRINFRA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853376,16853376,4576001,17875,GODREJPROP,GODREJ PROPERTIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136486404,533150,GODREJPROP,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853379,16853379,316161,1235,GREAVESCOT,GREAVES COTTON.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128372484,501455,GREAVESCOT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853383,16853383,996353,3892,HATSUN,HATSUN AGRO PRODUCT.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136071940,531531,HATSUN,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853386,16853386,5619457,21951,HFCL,HFCL,0.0,,0.0,0.05,1,EQ,NSE,NSE,128046852,500183,HFCL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853388,16853388,356865,1394,HINDUNILVR,HINDUSTAN UNILEVER.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128178180,500696,HINDUNILVR,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853392,16853392,655873,2562,HUHTAMAKI,HUHTAMAKI INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,130513924,509820,HUHTAMAKI,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853393,16853393,1270529,4963,ICICIBANK,ICICI BANK.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136236548,532174,ICICIBANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853395,16853395,3060993,11957,IDFC,IDFC,0.0,,0.0,0.05,1,EQ,NSE,NSE,136360708,532659,IDFC,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853396,16853396,2863105,11184,IDFCFIRSTB,IDFC FIRST BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,138095876,539437,IDFCFIRSTB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853397,16853397,3023105,11809,IIFL,IIFL FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,136354820,532636,IIFL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853399,16853399,3663105,14309,INDIANB,INDIAN BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136400388,532814,INDIANB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853400,16853400,2989313,11677,INDOCO,INDOCO REMEDIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136348676,532612,INDOCO,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853401,16853401,7458561,29135,INDUSTOWER,INDUS TOWERS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136912900,534816,INDUSTOWER,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853402,16853402,4159745,16249,INFIBEAM,INFIBEAM AVENUES,0.0,,0.0,0.05,1,EQ,NSE,NSE,138190596,539807,INFIBEAM,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853403,16853403,1517057,5926,INTELLECT,INTELLECT DESIGN ARENA,0.0,,0.0,0.05,1,EQ,NSE,NSE,137941764,538835,INTELLECT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853404,16853404,2393089,9348,IOB,INDIAN OVERSEAS BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136291332,532388,IOB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853405,16853405,1276417,4986,IRCON,IRCON INTERNATIONAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,138740740,541956,IRCON,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853407,16853407,4574465,17869,JSWENERGY,JSW ENERGY,0.0,,0.0,0.05,1,EQ,NSE,NSE,136485892,533148,JSWENERGY,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853409,16853409,828673,3237,JTEKTINDIA,JTEKT INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,133134596,520057,JTEKTINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853410,16853410,4632577,18096,JUBLFOOD,JUBILANT FOODWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136487684,533155,JUBLFOOD,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853413,16853413,3877377,15146,JYOTHYLAB,JYOTHY LABS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136429060,532926,JYOTHYLAB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853414,16853414,3407361,13310,KEI,KEI INDUSTRIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,132497668,517569,KEI,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853416,16853416,2478849,9683,KPITTECH,KPIT TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,138918660,542651,KPITTECH,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853418,16853418,498945,1949,KSB,KSB,0.0,,0.0,0.05,1,EQ,NSE,NSE,128063748,500249,KSB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853420,16853420,416513,1627,LINDEINDIA,LINDE INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,134004996,523457,LINDEINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853421,16853421,2939649,11483,LT,LARSEN & TOUBRO.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128130564,500510,LT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853424,16853424,2912513,11377,MAHABANK,BANK OF MAHARASHTRA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136326404,532525,MAHABANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853427,16853427,4879617,19061,MANAPPURAM,MANAPPURAM FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,135990532,531213,MANAPPURAM,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853428,16853428,2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136320004,532500,MARUTI,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853432,16853432,3623425,14154,MINDAIND,MINDA INDUSTRIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136329988,532539,MINDAIND,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853436,16853436,1003009,3918,NATCOPHARM,NATCO PHARMA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,134352900,524816,NATCOPHARM,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853438,16853438,593665,2319,NCC,NCC,0.0,,0.0,0.05,1,EQ,NSE,NSE,128075268,500294,NCC,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853440,16853440,3944705,15409,NESCO,NESCO.,0.0,,0.0,0.05,1,EQ,NSE,NSE,129370884,505355,NESCO,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853442,16853442,3924993,15332,NMDC,NMDC.,0.0,,0.0,0.05,1,EQ,NSE,NSE,134750980,526371,NMDC,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853453,16853453,3725313,14552,PHOENIXLTD,THE PHOENIX MILLS,0.0,,0.0,0.05,1,EQ,NSE,NSE,128793604,503100,PHOENIXLTD,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853455,16853455,2730497,10666,PNB,PUNJAB NATIONAL BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136310020,532461,PNB,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853457,16853457,701185,2739,PRSMJOHNSN,PRISM JOHNSON,0.0,,0.0,0.05,1,EQ,NSE,NSE,128086532,500338,PRSMJOHNSN,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853459,16853459,3926273,15337,RAIN,RAIN INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,128086788,500339,RAIN,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853460,16853460,523009,2043,RAMCOCEM,THE RAMCO CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,128066564,500260,RAMCOCEM,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853463,16853463,3930881,15355,RECLTD,REC,0.0,,0.0,0.05,1,EQ,NSE,NSE,136436484,532955,RECLTD,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853464,16853464,3649281,14255,REDINGTON,REDINGTON (INDIA).,0.0,,0.0,0.05,1,EQ,NSE,NSE,136398084,532805,REDINGTON,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853466,16853466,4968961,19410,ROSSARI,ROSSARI BIOTECH,0.0,,0.0,0.05,1,EQ,NSE,NSE,139062532,543213,ROSSARI,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853470,16853470,369153,1442,SANOFI,SANOFI INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128172548,500674,SANOFI,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853472,16853472,779521,3045,SBIN,STATE BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128028676,500112,SBIN,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853473,16853473,3659777,14296,SEQUENT,SEQUENT SCIENTIFIC.,0.0,,0.0,0.05,1,EQ,NSE,NSE,131207428,512529,SEQUENT,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853476,16853476,5504257,21501,SIS,SIS,0.0,,0.0,0.05,1,EQ,NSE,NSE,138412292,540673,SIS,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853477,16853477,4834049,18883,SJVN,SJVN,0.0,,0.0,0.05,1,EQ,NSE,NSE,136500740,533206,SJVN,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853481,16853481,3539457,13826,SOBHA,SOBHA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136392708,532784,SOBHA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853485,16853485,4593921,17945,SUVENPHAR,SUVEN PHARMACEUTICALS,0.0,,0.0,0.05,1,EQ,NSE,NSE,139024388,543064,SUVENPHAR,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853486,16853486,6192641,24190,SYMPHONY,SYMPHONY,0.0,,0.0,0.05,1,EQ,NSE,NSE,132450564,517385,SYMPHONY,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853487,16853487,3577857,13976,TANLA,TANLA PLATFORMS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136394244,532790,TANLA,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853492,16853492,3634689,14198,TIMKEN,TIMKEN INDIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,133660932,522113,TIMKEN,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853493,16853493,897537,3506,TITAN,TITAN COMPANY,0.0,,0.0,0.05,1,EQ,NSE,NSE,128029188,500114,TITAN,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853495,16853495,2873089,11223,UCOBANK,UCO BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136321284,532505,UCOBANK,0.0,,0.0,0.01,1,EQ,BSE,BSE
16853497,16853497,2752769,10753,UNIONBANK,UNION BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136314116,532477,UNIONBANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853498,16853498,2889473,11287,UPL,UPL,0.0,,0.0,0.05,1,EQ,NSE,NSE,131089924,512070,UPL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853501,16853501,2909185,11364,VAIBHAVGBL,VAIBHAV GLOBAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136231940,532156,VAIBHAVGBL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853502,16853502,3415553,13342,VAKRANGEE,VAKRANGEE,0.0,,0.0,0.05,1,EQ,NSE,NSE,130926340,511431,VAKRANGEE,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853505,16853505,784129,3063,VEDL,VEDANTA,0.0,,0.0,0.05,1,EQ,NSE,NSE,128075524,500295,VEDL,0.0,,0.0,0.05,1,EQ,BSE,BSE
16853508,16853508,3026177,11821,WELCORP,WELSPUN CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,136228868,532144,WELCORP,0.0,,0.0,0.05,1,EQ,BSE,BSE
